tea_id,name,absolute_url
071905048,Desert View Middle School,/districts/ysleta-isd/desert-view-middle-school/
071909120,Desert Wind Elementary School,/districts/socorro-isd/desert-wind-elementary-school/
071905136,Desertaire Elementary School,/districts/ysleta-isd/desertaire-elementary-school/
057906008,Desoto Alternative Education Center,/districts/desoto-isd/desoto-alternative-education-center/
227904105,Dessau Elementary School,/districts/pflugerville-isd/dessau-elementary-school/
227904045,Dessau Middle School,/districts/pflugerville-isd/dessau-middle-school/
220905024,Detention Center,/districts/fort-worth-isd/detention-center/
194905101,Detroit Elementary School,/districts/detroit-isd/detroit-elementary-school/
194905001,Detroit High School,/districts/detroit-isd/detroit-high-school/
194905041,Detroit Junior High School,/districts/detroit-isd/detroit-junior-high-school/
146903101,Devers Elementary School,/districts/devers-isd/devers-elementary-school/
146903041,Devers Junior High School,/districts/devers-isd/devers-junior-high-school/
163901004,Devine DAEP School,/districts/devine-isd/devine-daep-school/
163901001,Devine High School,/districts/devine-isd/devine-high-school/
163901102,Devine Intermediate School,/districts/devine-isd/devine-intermediate-school/
163901041,Devine Middle School,/districts/devine-isd/devine-middle-school/
002901101,Devonian Elementary School,/districts/andrews-isd/devonian-elementary-school/
081906101,Dew Elementary School,/districts/dew-isd/dew-elementary-school/
101916002,Dewalt Alternative School,/districts/la-porte-isd/dewalt-alternative-school/
176903101,Deweyville Elementary School,/districts/deweyville-isd/deweyville-elementary-school/
176903001,Deweyville High School,/districts/deweyville-isd/deweyville-high-school/
220905122,Diamond Hill Elementary School,/districts/fort-worth-isd/diamond-hill-elementary-school/
220905004,Diamond Hill-Jarvis High School,/districts/fort-worth-isd/diamond-hill-jarvis-high-school/
101914108,Diane Winborn Elementary School,/districts/katy-isd/diane-winborn-elementary-school/
108905041,Diaz Junior High School,/districts/hidalgo-isd/diaz-junior-high-school/
108912111,Diaz-Villareal Elementary School,/districts/la-joya-isd/diaz-villareal-elementary-school/
003905001,Diboll High School,/districts/diboll-isd/diboll-high-school/
003905041,Diboll Junior High School,/districts/diboll-isd/diboll-junior-high-school/
003905102,Diboll Primary School,/districts/diboll-isd/diboll-primary-school/
084901009,Dickinson Continuation Center,/districts/dickinson-isd/dickinson-continuation-center/
057910120,Dickinson Elementary School,/districts/grand-prairie-isd/dickinson-elementary-school/
084901001,Dickinson High School,/districts/dickinson-isd/dickinson-high-school/
082902101,Dilley Elementary School,/districts/dilley-isd/dilley-elementary-school/
082902001,Dilley High School,/districts/dilley-isd/dilley-high-school/
091906102,Dillingham Intermediate School,/districts/sherman-isd/dillingham-intermediate-school/
009901103,Dillman Elementary School,/districts/muleshoe-isd/dillman-elementary-school/
144903001,Dime Box School,/districts/dime-box-isd/dime-box-school/
035901001,Dimmitt High School,/districts/dimmitt-isd/dimmitt-high-school/
035901041,Dimmitt Middle School,/districts/dimmitt-isd/dimmitt-middle-school/
243902101,Dinsmore Elementary School,/districts/electra-isd/dinsmore-elementary-school/
036901006,Disciplinary Alternative Education,/districts/anahuac-isd/disciplinary-alternative-education/
021902012,Disciplinary Alternative Educational Progam,/districts/bryan-isd/disciplinary-alternative-educational-progam/
123910126,Dishman Elementary School,/districts/beaumont-isd/dishman-elementary-school/
031903106,Dishman Elementary School,/districts/harlingen-cisd/dishman-elementary-school/
007901003,District Reassignment & Opportunit,/districts/charlotte-isd/district-reassignment-opportunit/
220901130,Ditto Elementary School,/districts/arlington-isd/ditto-elementary-school/
133905101,Divide Elementary School,/districts/divide-isd/divide-elementary-school/
212905107,Dixie Elementary School,/districts/tyler-isd/dixie-elementary-school/
101917004,Dobie High School,/districts/pasadena-isd/dobie-high-school/
094902042,Dobie Junior High School,/districts/schertz-cibolo-universal-city-isd/dobie-junior-high-school/
227901055,Dobie Middle School,/districts/austin-isd/dobie-middle-school/
227901192,Dobie Pk Center,/districts/austin-isd/dobie-pk-center/
057916119,Dobie Primary School,/districts/richardson-isd/dobie-primary-school/
074904001,Dodd City School,/districts/dodd-city-isd/dodd-city-school/
043914104,Dodd Elementary School,/districts/wylie-isd-collin/dodd-elementary-school/
251901104,Dodson Pri,/districts/denver-city-isd/dodson-pri/
108909106,Doedyns Elementary School,/districts/pharr-san-juan-alamo-isd/doedyns-elementary-school/
101915046,Doerre Intermediate School,/districts/klein-isd/doerre-intermediate-school/
101912140,Dogan Elementary School,/districts/houston-isd/dogan-elementary-school/
212905042,Dogan Middle School,/districts/tyler-isd/dogan-middle-school/
220905227,Dolores Huerta Elementary School,/districts/fort-worth-isd/dolores-huerta-elementary-school/
070908109,Dolores Mcclatchey El,/districts/midlothian-isd/dolores-mcclatchey-el/
071905105,Dolphin Terrace Elementary School,/districts/ysleta-isd/dolphin-terrace-elementary-school/
108912049,Domingo Trevino Middle School,/districts/la-joya-isd/domingo-trevino-middle-school/
020901110,Don Jeter Elementary School,/districts/alvin-isd/don-jeter-elementary-school/
240901102,Don Jose Gallego Elementary School,/districts/laredo-isd/don-jose-gallego-elementary-school/
220919103,Don T Durham Elementary School,/districts/carroll-isd/don-t-durham-elementary-school/
220919106,Don T Durham Intermediate School,/districts/carroll-isd/don-t-durham-intermediate-school/
043914109,Don Whitt Elementary School,/districts/wylie-isd-collin/don-whitt-elementary-school/
061902117,Donald Elementary School,/districts/lewisville-isd/donald-elementary-school/
108902001,Donna High School,/districts/donna-isd/donna-high-school/
101919123,Donna Lewis Elementary School,/districts/spring-isd/donna-lewis-elementary-school/
108902007,Donna North H S,/districts/donna-isd/donna-north-h-s/
220916113,Donna Park Elementary School,/districts/hurst-euless-bedford-isd/donna-park-elementary-school/
220908204,Donna Shepard Intermediate School,/districts/mansfield-isd/donna-shepard-intermediate-school/
108911109,Donna Wernecke Elementary School,/districts/sharyland-isd/donna-wernecke-elementary-school/
043910119,Dooley Elementary School,/districts/plano-isd/dooley-elementary-school/
108902047,Dora M Sauceda Middle School,/districts/donna-isd/dora-m-sauceda-middle-school/
031906110,Dora Romero Elementary School,/districts/los-fresnos-cisd/dora-romero-elementary-school/
015907153,Dorie Miller Elementary School,/districts/san-antonio-isd/dorie-miller-elementary-school/
070903043,Dorie Miller Intermediate School,/districts/ennis-isd/dorie-miller-intermediate-school/
199901105,Doris Cullinslake Pointe Elementary School,/districts/rockwall-isd/doris-cullinslake-pointe-elementary-school/
061901126,Dorothy P Adkins El,/districts/denton-isd/dorothy-p-adkins-el/
199901108,Dorothy Smith Pullen Elementary School,/districts/rockwall-isd/dorothy-smith-pullen-elementary-school/
108910041,Dorothy Thompson Middle School,/districts/progreso-isd/dorothy-thompson-middle-school/
199901109,Dorris A Jones Elementary School,/districts/rockwall-isd/dorris-a-jones-elementary-school/
227901154,Doss Elementary School,/districts/austin-isd/doss-elementary-school/
086024101,Doss Elementary School,/districts/doss-consolidated-csd/doss-elementary-school/
246909119,Double File Trail Elementary School,/districts/round-rock-isd/double-file-trail-elementary-school/
246904040,Douglas Benold Middle School,/districts/georgetown-isd/douglas-benold-middle-school/
212905108,Douglas Elementary School,/districts/tyler-isd/douglas-elementary-school/
112901107,Douglas Intermediate School,/districts/sulphur-springs-isd/douglas-intermediate-school/
015907119,Douglass Academy,/districts/san-antonio-isd/douglass-academy/
071902114,Douglass Elementary School,/districts/el-paso-isd/douglass-elementary-school/
174911001,Douglass School,/districts/douglass-isd/douglass-school/
240901123,Dovalina Elementary School,/districts/laredo-isd/dovalina-elementary-school/
220906103,Dove Elementary School,/districts/grapevine-colleyville-isd/dove-elementary-school/
057916103,Dover Elementary School,/districts/richardson-isd/dover-elementary-school/
071902115,Dowell Elementary School,/districts/el-paso-isd/dowell-elementary-school/
043907043,Dowell Middle School,/districts/mckinney-isd/dowell-middle-school/
123907113,Dowling Elementary School,/districts/port-arthur-isd/dowling-elementary-school/
068901107,Dowling Elementary School,/districts/ector-county-isd/dowling-elementary-school/
101912075,Dowling Middle School,/districts/houston-isd/dowling-middle-school/
031912104,Downs Elementary School,/districts/san-benito-cisd/downs-elementary-school/
220918115,Dozier El,/districts/eagle-mt-saginaw-isd/dozier-el/
031903007,Dr Abraham P Cano Freshman Academy,/districts/harlingen-cisd/dr-abraham-p-cano-freshman-academy/
043914046,Dr Al Draper Intermediate School,/districts/wylie-isd-collin/dr-al-draper-intermediate-school/
108905103,Dr Alejo Salinas Jr Elementary School,/districts/hidalgo-isd/dr-alejo-salinas-jr-elementary-school/
108912122,Dr Americo Paredes Elementary School,/districts/la-joya-isd/dr-americo-paredes-elementary-school/
129906106,Dr Bruce Wood Elementary School,/districts/terrell-isd/dr-bruce-wood-elementary-school/
212905125,Dr Bryan C Jack Elementary School,/districts/tyler-isd/dr-bryan-c-jack-elementary-school/
101907057,Dr Cheryl Corbett Salyards,/districts/cypress-fairbanks-isd/dr-cheryl-corbett-salyards/
015806106,Dr David C Walker Elementary School,/districts/school-of-excellence-in-education/dr-david-c-walker-elementary-school/
101907154,Dr Debbie Emery Elementary School,/districts/cypress-fairbanks-isd/dr-debbie-emery-elementary-school/
043901113,Dr ET Boon Elementary School,/districts/allen-isd/dr-et-boon-elementary-school/
233901112,Dr Fermin Calderon Elementary School,/districts/san-felipe-del-rio-cisd/dr-fermin-calderon-elementary-school/
015806101,Dr Harmon W Kelley Elementary School,/districts/school-of-excellence-in-education/dr-harmon-w-kelley-elementary-school/
031903122,Dr Hesiquio Rodriguez Elementary School,/districts/harlingen-cisd/dr-hesiquio-rodriguez-elementary-school/
043907046,Dr Jack Cockrill Middle School,/districts/mckinney-isd/dr-jack-cockrill-middle-school/
